fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;color;quality
6.2;0.64;0.09;2.5;E;15.0;26.0;0.9953799999999999;3.57;high;12.0;?;5
7.2;0.39;0.32;1.8;C;34.0;60.0;0.9971399999999999;3.46;high;9.9;red;5
6.2;0.52;0.08;4.4;E;11.0;32.0;0.99646;3.56;high;11.6;red;6
7.4;0.25;0.29;2.2;C;19.0;49.0;0.99666;3.4;high;10.9;?;7
6.7;0.855;0.02;1.9;E;29.0;38.0;0.99472;3.3;medium;10.75;red;6
11.1;0.44;0.42;2.2;E;14.0;19.0;0.9975799999999999;3.25;medium;10.4;red;6
8.4;0.37;0.43;2.3;C;12.0;19.0;0.9955;3.17;high;11.2;red;7
6.5;0.63;0.33;1.8;C;16.0;28.0;0.99531;3.36;high;10.1;red;6
7.0;0.57;0.02;2.0;E;17.0;26.0;0.99575;3.36;high;10.2;red;5
6.3;0.6;0.1;1.6;D;12.0;26.0;0.99306;3.55;medium;12.1;red;5
11.2;0.4;0.5;2.0;E;19.0;50.0;0.9978299999999999;3.1;medium;10.4;red;5
7.4;0.36;0.3;1.8;C;17.0;24.0;0.99419;3.24;high;11.4;red;8
7.1;0.68;0.0;2.3;D;17.0;26.0;0.9978299999999999;3.45;medium;9.5;red;5
7.1;0.67;0.0;2.3;D;18.0;27.0;0.9976799999999999;3.44;medium;9.4;red;5
6.3;0.68;0.01;3.7;C;32.0;54.0;0.9958600000000001;3.51;high;11.3;red;6
7.3;0.735;0.0;2.2;E;18.0;28.0;0.99765;3.41;medium;9.4;red;5
6.6;0.855;0.02;2.4;E;15.0;23.0;0.9962700000000001;3.54;medium;11.0;?;6
7.0;0.56;0.17;1.7;C;15.0;24.0;0.9951399999999999;3.44;high;10.55;red;7
6.6;0.88;0.04;2.2;E;12.0;20.0;0.99636;3.53;medium;9.9;red;5
6.6;0.855;0.02;2.4;E;15.0;23.0;0.9962700000000001;3.54;medium;11.0;red;6
6.9;0.63;0.33;6.7;E;66.0;115.0;0.99787;?;medium;9.5;red;5
7.8;0.6;0.26;2.0;D;31.0;131.0;0.9962200000000001;3.21;medium;9.9;red;5
7.8;0.6;0.26;2.0;D;31.0;131.0;0.9962200000000001;3.21;medium;9.9;red;5
7.8;0.6;0.26;2.0;D;31.0;131.0;0.9962200000000001;3.21;medium;9.9;red;5
7.2;0.695;0.13;2.0;D;12.0;20.0;0.99546;3.29;medium;10.1;?;5
7.2;0.695;0.13;2.0;D;12.0;20.0;0.99546;?;medium;10.1;red;5
7.2;0.695;0.13;2.0;D;12.0;20.0;0.99546;3.29;medium;10.1;red;5
6.7;0.67;0.02;1.9;C;26.0;42.0;0.9948899999999999;3.39;high;10.9;?;6
6.7;0.16;0.64;2.1;C;24.0;52.0;0.9949399999999999;3.34;high;11.2;red;6
7.2;0.695;0.13;2.0;D;12.0;20.0;0.99546;3.29;medium;10.1;red;5
7.0;0.56;0.13;1.6;E;25.0;42.0;0.99629;3.34;medium;9.2;?;5
6.2;0.51;0.14;1.9;E;15.0;34.0;0.9939600000000001;3.48;medium;11.5;red;6
6.4;0.36;0.53;2.2;C;19.0;35.0;0.9934;3.37;high;12.4;red;6
6.4;0.38;0.14;2.2;C;15.0;25.0;0.9951399999999999;3.44;high;11.1;red;6
7.3;0.69;0.32;2.2;D;35.0;104.0;0.9963200000000001;3.33;medium;9.5;red;5
6.0;0.58;0.2;2.4;C;15.0;50.0;0.99467;3.58;high;12.5;red;6
5.6;0.31;0.78;13.9;B;23.0;92.0;0.99677;3.39;medium;10.5;red;6
7.5;0.52;0.4;2.2;C;12.0;20.0;0.99474;3.26;high;11.8;red;6
8.0;0.3;0.63;1.6;C;16.0;29.0;0.9958799999999999;3.3;high;10.8;red;6
6.2;0.7;0.15;5.1;E;13.0;27.0;0.9962200000000001;3.54;medium;11.9;red;6
6.8;0.67;0.15;1.8;C;13.0;20.0;0.9954;3.42;high;11.3;?;6
6.2;0.56;0.09;1.7;E;24.0;32.0;0.9940200000000001;3.54;medium;11.3;red;5
7.4;0.35;0.33;2.4;E;9.0;26.0;0.9947;3.36;medium;11.9;?;6
6.2;0.56;0.09;1.7;E;24.0;32.0;0.9940200000000001;3.54;medium;11.3;red;5
6.1;0.715;0.1;2.6;D;13.0;27.0;0.9936200000000001;3.57;medium;11.9;red;5
6.2;0.46;0.29;2.1;E;32.0;98.0;0.9957799999999999;3.33;high;9.8;red;5
6.7;0.32;0.44;2.4;C;24.0;34.0;0.99484;3.29;high;11.6;?;7
7.2;0.39;0.44;2.6;C;22.0;48.0;0.9949399999999999;3.3;high;11.5;red;6
7.5;0.31;0.41;2.4;C;34.0;60.0;0.99492;3.34;high;11.4;red;6
5.8;0.61;0.11;1.8;C;18.0;28.0;0.9948299999999999;3.55;high;10.9;?;6
7.2;0.66;0.33;2.5;C;34.0;102.0;0.9941399999999999;3.27;high;12.8;red;6
6.6;0.725;0.2;7.8;D;29.0;79.0;0.9977;?;medium;9.2;red;5
6.3;0.55;0.15;1.8;C;26.0;35.0;0.9931399999999999;3.32;high;11.6;red;6
5.4;0.74;0.09;1.7;E;16.0;26.0;0.9940200000000001;3.67;medium;11.6;red;6
6.3;0.51;0.13;2.3;C;29.0;40.0;0.99574;3.42;high;11.0;red;6
6.8;0.62;0.08;1.9;C;28.0;38.0;0.99651;3.42;high;9.5;red;6
6.2;0.6;0.08;2.0;E;32.0;44.0;0.9949;3.45;medium;10.5;red;5
5.9;0.55;0.1;2.2;C;39.0;51.0;0.9951200000000001;3.52;high;11.2;red;6
6.3;0.51;0.13;2.3;C;29.0;40.0;0.99574;3.42;high;11.0;red;6
5.9;0.645;0.12;2.0;C;32.0;44.0;0.9954700000000001;3.57;high;10.2;red;5
6.0;0.31;0.47;3.6;C;18.0;42.0;0.99549;3.39;high;11.0;red;6
7.0;0.27;0.36;20.7;B;45.0;170.0;1.001;3.0;medium;8.8;white;6
6.3;0.3;0.34;1.6;D;14.0;132.0;0.9940000000000001;?;medium;9.5;white;6
8.1;0.28;0.4;6.9;B;30.0;97.0;0.9951;3.26;medium;10.1;white;6
7.2;0.23;0.32;8.5;A;47.0;186.0;0.9956;3.19;low;9.9;white;6
7.2;0.23;0.32;8.5;A;47.0;186.0;0.9956;3.19;low;9.9;white;6
8.1;0.28;0.4;6.9;B;30.0;97.0;0.9951;3.26;medium;10.1;white;6
6.2;0.32;0.16;7.0;B;30.0;136.0;0.9949;3.18;medium;9.6;white;6
7.0;0.27;0.36;20.7;B;45.0;170.0;1.001;3.0;medium;8.8;white;6
6.3;0.3;0.34;1.6;D;14.0;132.0;0.9940000000000001;3.3;medium;9.5;white;6
8.1;0.22;0.43;1.5;B;28.0;129.0;0.9938;3.22;medium;11.0;white;6
8.1;0.27;0.41;1.45;E;11.0;63.0;0.9908;2.99;medium;12.0;white;5
8.6;0.23;0.4;4.2;D;17.0;109.0;0.9947;3.14;medium;9.7;white;5
7.9;0.18;0.37;1.2;E;16.0;75.0;0.992;3.18;high;10.8;white;5
6.6;0.16;0.4;1.5;D;48.0;143.0;0.9912;3.54;medium;12.4;white;7
8.3;0.42;0.62;19.25;C;41.0;172.0;1.0002;2.98;high;9.7;white;5
6.6;0.17;0.38;1.5;E;28.0;112.0;0.9914;3.25;medium;11.4;white;7
6.3;0.48;0.04;1.1;A;30.0;99.0;0.9928;3.24;low;9.6;white;6
6.2;0.66;0.48;1.2;A;29.0;75.0;0.9892;3.33;low;12.8;white;8
7.4;0.34;0.42;1.1;D;17.0;171.0;0.9917;3.12;medium;11.3;white;6
6.5;0.31;0.14;7.5;D;34.0;133.0;0.9955;?;medium;9.5;?;5
6.2;0.66;0.48;1.2;A;29.0;75.0;0.9892;?;low;12.8;white;8
6.4;0.31;0.38;2.9;A;19.0;102.0;0.9912;3.17;low;11.0;white;7
6.8;0.26;0.42;1.7;B;41.0;122.0;0.993;3.47;medium;10.5;white;8
7.6;0.67;0.14;1.5;D;25.0;168.0;0.9937;3.05;medium;9.3;white;5
6.6;0.27;0.41;1.3;B;16.0;142.0;0.9951;?;medium;10.0;white;6
7.0;0.25;0.32;9.0;D;56.0;245.0;0.9955;3.25;medium;10.4;white;6
6.9;0.24;0.35;1.0;B;35.0;146.0;0.993;3.45;medium;10.0;white;6
7.0;0.28;0.39;8.7;D;32.0;141.0;0.9961;?;medium;10.5;white;6
7.4;0.27;0.48;1.1;D;17.0;132.0;0.9914;3.19;medium;11.6;white;6
7.2;0.32;0.36;2.0;C;37.0;114.0;0.9906;3.1;high;12.3;white;7
8.5;0.24;0.39;10.4;D;20.0;142.0;0.9974;?;medium;10.0;white;6
8.3;0.14;0.34;1.1;A;7.0;47.0;0.9934;3.47;low;10.2;?;6
7.4;0.25;0.36;2.05;B;31.0;100.0;0.992;3.19;medium;10.8;white;6
6.2;0.12;0.34;1.5;D;43.0;117.0;0.9939;3.42;medium;9.0;white;6
5.8;0.27;0.2;14.95;A;22.0;179.0;0.9962;3.37;low;10.2;?;5
7.3;0.28;0.43;1.7;B;21.0;123.0;0.9905;3.19;low;12.8;white;5
6.5;0.39;0.23;5.4;A;25.0;149.0;0.9934;?;low;10.0;white;5
7.0;0.33;0.32;1.2;A;38.0;138.0;0.9906;3.13;low;11.2;?;6
7.3;0.24;0.39;17.95;A;45.0;149.0;0.9999;3.21;low;8.6;white;5
7.3;0.24;0.39;17.95;A;45.0;149.0;0.9999;3.21;low;8.6;white;5
6.7;0.23;0.39;2.5;A;63.0;158.0;0.9937;3.11;low;9.4;white;6
6.7;0.24;0.39;2.9;A;63.0;157.0;0.9937;3.1;low;9.4;white;6
7.0;0.31;0.26;7.4;B;28.0;160.0;0.9954;3.13;medium;9.8;white;6
6.6;0.24;0.27;1.4;E;33.0;152.0;0.9934;3.22;medium;9.5;white;6
6.7;0.23;0.26;1.4;E;33.0;154.0;0.9934;3.24;medium;9.5;white;6
7.4;0.18;0.31;1.4;D;38.0;167.0;0.9931;3.16;medium;10.0;white;7
6.2;0.45;0.26;4.4;D;63.0;206.0;0.9940000000000001;3.27;medium;9.8;white;4
6.2;0.46;0.25;4.4;D;62.0;207.0;0.9939;3.25;medium;9.8;white;5
7.0;0.31;0.26;7.4;B;28.0;160.0;0.9954;3.13;medium;9.8;?;6
6.9;0.19;0.35;5.0;B;32.0;150.0;0.995;3.36;medium;9.8;white;5
7.2;0.19;0.31;1.6;B;31.0;173.0;0.9917;3.35;medium;11.7;white;6
6.6;0.25;0.29;1.1;E;39.0;124.0;0.9914;3.34;medium;11.0;white;7
6.2;0.16;0.33;1.1;B;21.0;82.0;0.991;3.32;medium;10.9;white;7
6.4;0.18;0.35;1.0;A;39.0;108.0;0.9911;?;low;10.9;white;6
6.8;0.2;0.59;0.9;A;38.0;132.0;0.993;3.05;low;9.1;white;6
6.9;0.25;0.35;1.3;D;29.0;191.0;0.9908;3.13;medium;11.0;white;6
7.2;0.21;0.34;11.9;D;37.0;213.0;0.9962;3.09;medium;9.6;white;6
6.0;0.19;0.26;12.4;A;50.0;147.0;0.9972;3.3;low;8.9;?;6
6.6;0.38;0.15;4.6;A;25.0;78.0;0.9931;3.11;low;10.2;white;6
7.4;0.2;0.36;1.2;A;44.0;111.0;0.9926;?;low;9.9;white;6
6.8;0.22;0.24;4.9;B;30.0;123.0;0.9951;3.03;medium;8.6;white;6
6.0;0.19;0.26;12.4;A;50.0;147.0;0.9972;3.3;low;8.9;white;6
7.0;0.47;0.07;1.1;A;17.0;151.0;0.991;3.02;low;10.5;white;5
6.6;0.38;0.15;4.6;A;25.0;78.0;0.9931;3.11;low;10.2;white;6
7.2;0.24;0.27;1.4;B;31.0;122.0;0.9927;3.15;medium;10.3;white;6
6.2;0.35;0.03;1.2;D;29.0;120.0;0.9934;3.22;medium;9.1;white;5
6.4;0.26;0.24;6.4;D;27.0;124.0;0.9903;3.22;medium;12.6;white;7
6.7;0.25;0.13;1.2;B;81.0;174.0;0.992;3.14;low;9.8;white;5
6.7;0.23;0.31;2.1;C;30.0;96.0;0.9926;3.33;high;10.7;?;8
7.4;0.24;0.29;10.1;A;21.0;105.0;0.9962;3.13;low;9.5;?;5
6.2;0.27;0.43;7.8;D;48.0;244.0;0.9956;3.1;medium;9.0;white;6
6.8;0.3;0.23;4.6;E;50.5;238.5;0.9958;3.32;medium;9.5;white;5
6.0;0.27;0.28;4.8;C;31.0;201.0;0.9964;3.69;high;10.0;white;5
8.6;0.23;0.46;1.0;D;9.0;72.0;0.9941;2.95;medium;9.1;white;6
6.7;0.23;0.31;2.1;C;30.0;96.0;0.9926;?;high;10.7;white;8
7.4;0.24;0.29;10.1;A;21.0;105.0;0.9962;?;low;9.5;white;5
7.1;0.18;0.36;1.4;A;31.0;87.0;0.9898;3.26;low;12.7;white;7
7.0;0.32;0.34;1.3;C;20.0;69.0;0.9912;3.31;high;12.0;white;7
7.4;0.18;0.3;8.8;E;26.0;103.0;0.9961;2.94;medium;9.3;white;5
6.7;0.54;0.28;5.4;A;21.0;105.0;0.9949;3.27;low;9.0;white;5
6.8;0.22;0.31;1.4;C;34.0;114.0;0.9929;?;high;10.6;white;6
7.1;0.2;0.34;16.0;E;51.0;166.0;0.9985;3.21;medium;9.2;white;6
7.1;0.34;0.2;6.1;B;47.0;164.0;0.9946;3.17;low;10.0;white;5
7.3;0.22;0.3;8.2;B;42.0;207.0;0.9966;?;medium;9.5;white;6
7.1;0.43;0.61;11.8;B;54.0;155.0;0.9974;3.11;medium;8.7;white;5
7.1;0.44;0.62;11.8;B;52.0;152.0;0.9975;3.12;medium;8.7;?;6
7.2;0.39;0.63;11.0;B;55.0;156.0;0.9974;3.09;medium;8.7;?;6
6.8;0.25;0.31;13.3;B;69.0;202.0;0.9972;3.22;medium;9.7;white;6
7.1;0.43;0.61;11.8;B;54.0;155.0;0.9974;3.11;medium;8.7;white;5
7.1;0.44;0.62;11.8;B;52.0;152.0;0.9975;3.12;medium;8.7;white;6
7.2;0.39;0.63;11.0;B;55.0;156.0;0.9974;3.09;medium;8.7;white;6
6.1;0.27;0.43;7.5;B;65.0;243.0;0.9957;?;medium;9.0;white;5
6.9;0.24;0.33;1.7;A;47.0;136.0;0.99;3.26;low;12.6;white;7
6.9;0.21;0.33;1.8;A;48.0;136.0;0.9899;?;low;12.6;?;7
7.5;0.17;0.32;1.7;B;51.0;148.0;0.9916;3.21;medium;11.5;white;7
7.1;0.26;0.29;12.4;B;62.0;240.0;0.9969;3.04;low;9.2;?;6
6.0;0.34;0.66;15.9;D;26.0;164.0;0.9979;3.14;medium;8.8;white;6
8.6;0.265;0.36;1.2;A;15.0;80.0;0.9913;2.95;low;11.4;white;7
9.8;0.36;0.46;10.5;A;4.0;83.0;0.9956;2.89;low;10.1;white;4
6.0;0.34;0.66;15.9;D;26.0;164.0;0.9979;3.14;medium;8.8;white;6
7.4;0.25;0.37;13.5;B;52.0;192.0;0.9975;?;medium;9.1;white;5
7.1;0.12;0.32;9.6;A;64.0;162.0;0.9962;3.4;low;9.4;white;5
6.0;0.21;0.24;12.1;A;55.0;164.0;0.997;3.34;low;9.4;white;5
7.5;0.305;0.4;18.9;B;44.0;170.0;1.0;2.99;medium;9.0;white;5
7.4;0.25;0.37;13.5;B;52.0;192.0;0.9975;3.0;medium;9.1;white;5
7.3;0.13;0.32;14.4;A;34.0;109.0;0.9974;3.2;low;9.2;white;6
7.1;0.12;0.32;9.6;A;64.0;162.0;0.9962;3.4;low;9.4;white;5
7.1;0.23;0.35;16.5;E;60.0;171.0;0.9990000000000001;3.16;medium;9.1;white;6
7.1;0.23;0.35;16.5;E;60.0;171.0;0.9990000000000001;3.16;medium;9.1;white;6
6.9;0.33;0.28;1.3;E;37.0;187.0;0.9927;3.27;medium;10.3;white;5
6.5;0.17;0.54;8.5;A;64.0;163.0;0.9959;2.89;low;8.8;white;6
7.2;0.27;0.46;18.75;D;45.0;255.0;1.0;3.04;medium;8.9;white;5
7.2;0.31;0.5;13.3;B;68.0;195.0;0.9982;3.01;medium;9.2;white;5
6.7;0.41;0.34;9.2;D;29.0;150.0;0.9968;3.22;medium;9.1;white;5
6.7;0.41;0.34;9.2;D;29.0;150.0;0.9968;3.22;medium;9.1;white;5
5.5;0.485;0.0;1.5;A;8.0;103.0;0.9940000000000001;3.63;low;9.7;?;4
6.0;0.31;0.24;3.3;B;25.0;143.0;0.9914;3.31;medium;11.3;white;6
7.0;0.14;0.4;1.7;B;16.0;85.0;0.9911;3.19;low;11.8;white;6
7.2;0.31;0.5;13.3;B;68.0;195.0;0.9982;3.01;medium;9.2;white;5
7.3;0.32;0.48;13.3;D;57.0;196.0;0.9982;3.04;medium;9.2;white;5
5.9;0.36;0.04;5.7;D;21.0;87.0;0.9934;3.22;medium;10.2;white;5
7.8;0.24;0.32;12.2;D;42.0;138.0;0.9984;3.01;medium;8.8;white;5
7.4;0.16;0.31;6.85;A;31.0;131.0;0.9952;3.29;low;9.7;white;5
6.9;0.19;0.28;5.0;A;14.0;146.0;0.9952;3.29;low;9.1;?;6
6.4;0.13;0.47;1.6;A;40.0;158.0;0.9928;3.21;low;9.8;white;6
6.7;0.19;0.36;1.1;B;63.0;143.0;0.9912;?;medium;11.0;white;6
7.4;0.39;0.23;7.0;B;29.0;126.0;0.9940000000000001;?;low;10.5;white;5
6.5;0.24;0.32;7.6;D;48.0;203.0;0.9958;3.45;medium;9.7;white;7
6.1;0.3;0.56;2.8;E;47.0;179.0;0.9924;3.3;medium;10.9;white;7
6.1;0.3;0.56;2.7;E;46.0;184.0;0.9924;3.31;medium;10.9;white;6
5.7;0.26;0.25;10.4;A;7.0;57.0;0.9940000000000001;3.39;low;10.6;white;5
6.5;0.24;0.32;7.6;D;48.0;203.0;0.9958;3.45;medium;9.7;white;7
6.5;0.425;0.4;13.1;E;59.0;241.0;0.9979;3.23;medium;9.0;white;5
6.6;0.24;0.27;15.8;D;46.0;188.0;0.9982;3.24;medium;9.2;white;5
6.8;0.27;0.22;8.1;D;55.0;203.0;0.9961;3.19;medium;8.9;white;5
6.7;0.27;0.31;15.7;E;44.0;179.0;0.9979;3.26;medium;9.6;white;5
8.2;0.23;0.4;1.2;A;36.0;121.0;0.992;3.12;low;10.7;white;6
7.1;0.37;0.67;10.5;B;49.0;155.0;0.9975;3.16;medium;8.7;?;5
6.8;0.19;0.36;1.9;D;30.0;96.0;0.9917;?;medium;10.8;white;7
8.1;0.28;0.39;1.9;D;18.0;79.0;0.9923;3.23;medium;11.8;?;6
6.3;0.31;0.34;2.2;B;20.0;77.0;0.9927;3.3;medium;10.2;white;5
7.1;0.37;0.67;10.5;B;49.0;155.0;0.9975;3.16;medium;8.7;white;5
7.9;0.21;0.4;1.2;D;38.0;107.0;0.992;3.21;medium;10.8;white;6
8.5;0.21;0.41;4.3;D;24.0;99.0;0.9947;3.18;medium;9.7;white;6
8.1;0.2;0.4;2.0;D;19.0;87.0;0.9921;3.12;medium;11.2;white;6
6.3;0.255;0.37;1.1;A;37.0;114.0;0.9905;3.0;low;10.9;white;6
5.6;0.16;0.27;1.4;A;53.0;168.0;0.9918;3.28;low;10.1;white;6
6.4;0.595;0.14;5.2;A;15.0;97.0;0.9951;3.38;low;9.0;white;4
6.3;0.34;0.33;4.6;E;19.0;80.0;0.9917;3.38;medium;12.0;white;7
6.9;0.25;0.3;4.1;A;23.0;116.0;0.9940000000000001;2.99;low;9.4;white;6
7.9;0.22;0.38;8.0;A;46.0;152.0;0.9934;3.12;low;11.5;white;7
7.6;0.18;0.46;10.2;B;58.0;135.0;0.9968;3.14;medium;9.9;white;6
6.9;0.25;0.3;4.1;A;23.0;116.0;0.9940000000000001;?;low;9.4;?;6
7.2;0.18;0.41;1.2;B;41.0;97.0;0.9919;?;medium;10.4;white;5
8.2;0.23;0.4;7.5;C;12.0;76.0;0.9966;3.06;high;9.7;white;6
7.4;0.24;0.42;14.0;B;48.0;198.0;0.9979;2.89;low;8.9;white;6
7.4;0.24;0.42;14.0;B;48.0;198.0;0.9979;2.89;low;8.9;white;6
6.1;0.32;0.24;1.5;B;38.0;124.0;0.9898;3.29;low;12.4;white;7
5.2;0.44;0.04;1.4;A;43.0;119.0;0.9894;3.36;low;12.1;white;8
5.2;0.44;0.04;1.4;A;43.0;119.0;0.9894;3.36;low;12.1;white;8
6.1;0.32;0.24;1.5;B;38.0;124.0;0.9898;3.29;low;12.4;white;7
6.4;0.22;0.56;14.5;A;27.0;159.0;0.998;?;low;9.1;white;5
6.3;0.36;0.3;4.8;A;14.0;85.0;0.9932;3.28;low;10.6;white;5
7.4;0.24;0.42;14.0;B;48.0;198.0;0.9979;?;low;8.9;white;6
6.7;0.24;0.35;13.1;D;64.0;205.0;0.997;3.15;medium;9.5;white;5
7.0;0.23;0.36;13.0;D;72.0;177.0;0.9972;3.16;medium;9.8;white;5
8.4;0.27;0.46;8.7;E;39.0;197.0;0.9974;3.14;medium;9.6;white;6
6.7;0.46;0.18;2.4;B;25.0;98.0;0.9896;3.08;medium;12.6;white;7
7.5;0.29;0.31;8.95;D;20.0;151.0;0.9968;3.08;medium;9.3;?;5
9.8;0.42;0.48;9.85;A;5.0;110.0;0.9958;?;low;10.0;white;5
7.1;0.3;0.46;1.5;D;29.0;133.0;0.9906;3.12;medium;12.7;white;6
7.9;0.19;0.45;1.5;A;17.0;96.0;0.9917;?;low;11.0;white;6
7.6;0.48;0.37;0.8;A;4.0;100.0;0.9902;3.03;low;11.4;white;4
6.3;0.22;0.43;4.55;A;31.0;130.0;0.9918;3.35;low;11.5;white;7
7.5;0.27;0.31;17.7;C;33.0;173.0;0.9990000000000001;3.09;high;10.2;white;5
6.9;0.23;0.4;7.5;A;50.0;151.0;0.9927;3.11;low;11.4;white;6
7.2;0.32;0.47;5.1;A;19.0;65.0;0.991;3.03;low;12.6;white;4
5.9;0.23;0.3;12.9;A;57.0;170.0;0.9972;?;low;9.4;white;5
6.0;0.67;0.07;1.2;A;9.0;108.0;0.9931;3.11;low;8.7;white;4
6.4;0.25;0.32;5.5;C;41.0;176.0;0.995;3.19;high;9.2;white;6
6.4;0.33;0.31;5.5;C;42.0;173.0;0.9951;3.19;high;9.3;white;6
7.1;0.34;0.15;1.2;B;61.0;183.0;0.9936;3.09;medium;9.2;white;5
6.8;0.28;0.4;22.0;D;48.0;167.0;1.001;2.93;medium;8.7;white;5
6.9;0.27;0.4;14.0;E;64.0;227.0;0.9979;3.18;medium;9.6;white;6
6.8;0.26;0.56;11.9;E;64.0;226.0;0.997;3.02;high;9.3;?;5
6.8;0.29;0.56;11.9;E;66.0;230.0;0.9972;3.02;high;9.3;white;5
6.7;0.24;0.41;9.4;E;49.0;166.0;0.9954;3.12;high;9.9;white;6
5.9;0.3;0.23;4.2;D;42.0;119.0;0.9924;3.15;medium;11.0;white;5
6.8;0.53;0.35;3.8;E;26.0;109.0;0.9906;3.26;medium;12.7;white;8
6.5;0.28;0.28;8.5;D;54.0;210.0;0.9962;?;medium;8.9;white;4
6.6;0.28;0.28;8.5;E;55.0;211.0;0.9962;3.09;medium;8.9;white;6
6.8;0.28;0.4;22.0;D;48.0;167.0;1.001;2.93;medium;8.7;white;5
6.8;0.28;0.36;8.0;A;28.0;123.0;0.9928;3.02;low;11.4;white;6
6.6;0.15;0.34;5.1;B;34.0;125.0;0.9942;3.36;low;9.6;white;5
6.4;0.29;0.44;3.6;A;75.0;181.0;0.9942;3.02;low;9.1;white;5
6.4;0.3;0.45;3.5;A;76.0;180.0;0.9942;3.02;low;9.1;white;6
6.4;0.29;0.44;3.6;A;75.0;183.0;0.9942;3.01;low;9.1;white;5
6.8;0.26;0.24;7.8;B;54.0;214.0;0.9961;3.13;medium;8.9;white;5
7.1;0.32;0.24;13.1;D;52.0;204.0;0.998;3.1;medium;8.8;white;5
6.8;0.26;0.24;7.8;B;54.0;214.0;0.9961;3.13;medium;8.9;white;5
6.8;0.27;0.26;16.1;D;55.0;196.0;0.9984;?;medium;9.3;white;5
7.1;0.32;0.24;13.1;D;52.0;204.0;0.998;3.1;medium;8.8;white;5
6.9;0.54;0.32;13.2;D;53.0;236.0;0.9973;3.2;medium;9.6;white;5
6.8;0.26;0.34;13.9;D;39.0;134.0;0.9949;3.33;medium;12.0;white;6
5.8;0.28;0.35;2.3;D;36.0;114.0;0.9924;3.28;medium;10.2;white;4
6.4;0.21;0.5;11.6;B;45.0;153.0;0.9972;3.15;medium;8.8;white;5
7.0;0.16;0.32;8.3;A;38.0;126.0;0.9958;3.21;low;9.2;white;5
10.2;0.44;0.88;6.2;D;20.0;124.0;0.9968;2.99;medium;9.9;white;4
6.8;0.57;0.29;2.2;C;15.0;77.0;0.9938;3.32;high;10.2;white;5
6.1;0.4;0.31;0.9;C;23.0;170.0;0.993;3.22;high;9.5;white;6
5.6;0.245;0.25;9.7;A;12.0;68.0;0.9940000000000001;3.31;low;10.5;white;5
6.8;0.18;0.38;1.4;E;35.0;111.0;0.9918;3.32;medium;11.2;white;7
7.0;0.16;0.32;8.3;A;38.0;126.0;0.9958;3.21;low;9.2;white;5
6.7;0.13;0.29;5.3;A;31.0;122.0;0.9944;3.44;low;9.7;white;6
6.2;0.25;0.25;1.4;B;35.0;105.0;0.9912;3.3;medium;11.1;white;7
5.8;0.26;0.24;9.2;A;55.0;152.0;0.9961;3.31;low;9.4;white;5
7.5;0.27;0.36;7.0;A;45.0;164.0;0.9939;3.03;low;11.0;white;5
5.8;0.26;0.24;9.2;A;55.0;152.0;0.9961;3.31;low;9.4;?;5
5.7;0.28;0.24;17.5;B;60.0;167.0;0.9989;?;medium;9.4;white;5
7.5;0.23;0.36;7.0;A;43.0;161.0;0.9938;3.04;low;11.0;white;5
7.5;0.27;0.36;7.0;A;45.0;164.0;0.9939;3.03;low;11.0;white;5
7.2;0.685;0.21;9.5;E;33.0;172.0;0.9971;3.0;medium;9.1;white;6
6.2;0.25;0.25;1.4;B;35.0;105.0;0.9912;3.3;medium;11.1;white;7
6.5;0.19;0.3;0.8;A;33.0;144.0;0.9936;3.42;low;9.1;white;6
6.3;0.495;0.22;1.8;D;31.0;140.0;0.9929;3.39;medium;10.4;white;6
7.1;0.24;0.41;17.8;A;39.0;145.0;0.9998;3.32;low;8.7;white;5
6.4;0.17;0.32;2.4;D;41.0;200.0;0.9938;3.5;medium;9.7;white;6
7.1;0.25;0.32;10.3;D;66.0;272.0;0.9969;3.17;medium;9.1;white;6
6.4;0.17;0.32;2.4;D;41.0;200.0;0.9938;3.5;medium;9.7;white;6
7.1;0.24;0.41;17.8;A;39.0;145.0;0.9998;?;low;8.7;white;5
6.8;0.64;0.08;9.7;B;26.0;142.0;0.9972;3.37;medium;8.9;white;4
8.3;0.28;0.4;7.8;D;38.0;194.0;0.9976;3.34;medium;9.6;white;6
8.2;0.27;0.39;7.8;D;49.0;208.0;0.9976;3.31;medium;9.5;white;6
7.2;0.23;0.38;14.3;B;55.0;194.0;0.9979;3.09;medium;9.0;white;6
7.2;0.23;0.38;14.3;B;55.0;194.0;0.9979;3.09;medium;9.0;white;6
7.2;0.23;0.38;14.3;B;55.0;194.0;0.9979;?;medium;9.0;white;6
7.2;0.23;0.38;14.3;B;55.0;194.0;0.9979;3.09;medium;9.0;white;6
6.8;0.52;0.32;13.2;D;54.0;221.0;0.9972;3.27;medium;9.6;white;6
7.0;0.26;0.59;1.4;A;40.0;120.0;0.9918;?;low;11.1;white;7
6.2;0.25;0.21;15.55;C;28.0;159.0;0.9982;3.48;high;9.6;?;6
7.3;0.32;0.23;13.7;B;49.0;197.0;0.9985;3.2;medium;8.7;white;5
7.7;0.31;0.26;7.8;D;23.0;90.0;0.9944;3.13;medium;10.4;white;5
7.1;0.21;0.37;2.4;A;23.0;100.0;0.9903;3.15;low;11.4;white;7
